id,audit_trail,cap_group,cap_info,cap_order,description,entity_type,is_active,is_api,is_console,is_immutable,name,extra_info,created_at,created_by,modified_at,modified_by,deleted_at,deleted_by
79,"{""checked"": false}",Billing,Billing Checker Delete handles billing checker delete operations for KRA,,Billing Checker Delete,{KRA},TRUE,FALSE,FALSE,TRUE,bill_c_discard,,,,,,,
80,"{""checked"": false}",Billing,Billing Checker Approve handles billing checker approve operations for KRA,,Billing Checker Approve,{KRA},TRUE,FALSE,FALSE,TRUE,bill_c_approve,,,,,,,
81,"{""checked"": false}",Billing,Billing Checker Edit handles billing checker edit operations for KRA,,Billing Checker Edit,{KRA},TRUE,FALSE,FALSE,TRUE,bill_c_edit,,,,,,,
82,"{""checked"": false}",Billing,Billing Checker Reject handles billing checker reject operations for KRA,,Billing Checker Reject,{KRA},TRUE,FALSE,FALSE,TRUE,bill_c_reject,,,,,,,
83,"{""checked"": false}",Entity,Entity Viewer List handles entity Viewer list operations,,Entity Viewer List,{KRA},TRUE,FALSE,FALSE,TRUE,ent_v_list,,,,,,,
84,"{""checked"": false}",Entity,Entity Viewer Get handles entity Viewer get operations,,Entity Viewer Get,{KRA},TRUE,FALSE,FALSE,TRUE,ent_v_get,,,,,,,
85,"{""checked"": false}",Entity,Entity Maker List handles entity maker list operations,,Entity Maker List,{KRA},TRUE,FALSE,FALSE,TRUE,ent_m_list,,,,,,,
86,"{""checked"": false}",Entity,Entity Maker Get handles entity maker get operations,,Entity Maker Get,{KRA},TRUE,FALSE,FALSE,TRUE,ent_m_get,,,,,,,
87,"{""checked"": false}",Entity,Entity Maker Add handles entity maker add operations,,Entity Maker Add,{KRA},TRUE,FALSE,FALSE,TRUE,ent_m_add,,,,,,,
88,"{""checked"": false}",Entity,Entity Maker Edit handles entity maker edit operations,,Entity Maker Edit,{KRA},TRUE,FALSE,FALSE,TRUE,ent_m_edit,,,,,,,
89,"{""checked"": false}",Entity,Entity Maker Delete handles entity maker delete operations,,Entity Maker Delete,{KRA},TRUE,FALSE,FALSE,TRUE,ent_m_discard,,,,,,,
90,"{""checked"": false}",Entity,Entity Checker List handles entity Checker list operations,,Entity Checker List,{KRA},TRUE,FALSE,FALSE,TRUE,ent_c_list,,,,,,,
91,"{""checked"": false}",Entity,Entity Checker Get handles entity checker get operations,,Entity Checker Get,{KRA},TRUE,FALSE,FALSE,TRUE,ent_c_get,,,,,,,
92,"{""checked"": false}",Entity,Entity Checker Approve handles entity checker approve operations,,Entity Checker Approve,{KRA},TRUE,FALSE,FALSE,TRUE,ent_c_approve,,,,,,,
93,"{""checked"": false}",Entity,Entity Checker Reject handles entity checker reject operations,,Entity Checker Reject,{KRA},TRUE,FALSE,FALSE,TRUE,ent_c_reject,,,,,,,
94,"{""checked"": false}",Entity,Entity Checker Hold handles entity checker hold operations,,Entity Checker Hold,{KRA},TRUE,FALSE,FALSE,TRUE,ent_c_hold,,,,,,,
95,"{""checked"": false}",Tpv,Tpv List handles tpv list operations,,Tpv List,"{KRA,TPV}",TRUE,FALSE,FALSE,TRUE,tpv_list,,,,,,,
96,"{""checked"": false}",Tpv,Tpv Get handles tpv get operations,,Tpv Get,"{KRA,TPV}",TRUE,FALSE,FALSE,TRUE,tpv_get,,,,,,,
97,"{""checked"": false}",Tpv,Tpv Allocation List handles tpv allocation list operations,,Tpv Allocation List,"{KRA,TPV}",TRUE,FALSE,FALSE,TRUE,tpv_allocation_list,,,,,,,
98,"{""checked"": false}",Tpv,Tpv Allocation Get handles tpv allocation get operations,,Tpv Allocation Get,"{KRA,TPV}",TRUE,FALSE,FALSE,TRUE,tpv_allocation_get,,,,,,,
99,"{""checked"": false}",Tpv,Tpv Allocation Maker Assign handles tpv allocation maker assign operations,,Tpv Allocation Maker Assign,"{KRA,TPV}",TRUE,FALSE,FALSE,TRUE,tpv_allocation_m_assign,,,,,,,
100,"{""checked"": false}",Tpv,Tpv Allocation Checker Approve handles tpv allocation checker approve operations,,Tpv Allocation Checker Approve,"{KRA,TPV}",TRUE,FALSE,FALSE,TRUE,tpv_allocation_c_approve,,,,,,,
101,"{""checked"": false}",Tpv,Tpv Allocation Checker Reject handles tpv allocation checker reject operations,,Tpv Allocation,"{KRA,TPV}",TRUE,FALSE,FALSE,TRUE,tpv_allocation_c_reject,,,,,,,
102,"{""checked"": false}",Call Center,Call Center Inquriy List handles call center inquiry list operations,,Call Center Inquiry List,{KRA},TRUE,FALSE,FALSE,TRUE,call_center_inquiry_list,,,,,,,
103,"{""checked"": false}",nan,MI Maker,,MI Maker,{*},TRUE,FALSE,FALSE,FALSE,mimaker,,,,,,,
104,"{""checked"": false}",nan,MI Cjecker,,MI Checker,{*},TRUE,FALSE,FALSE,FALSE,michecker,,,,,,,
105,"{""checked"": false}",nan,KRA Maker,,KRA Maker,{*},TRUE,FALSE,FALSE,FALSE,kramaker,,,,,,,
106,"{""checked"": false}",nan,KRA Checker,,KRA Checker,{*},TRUE,FALSE,FALSE,FALSE,krachecker,,,,,,,
107,"{""checked"": false}",User Management,Handles User Management maker operations,,User Management Maker,{*},TRUE,FALSE,FALSE,FALSE,usrmgmtmaker,,,,,,,
108,"{""checked"": false}",User Management,Handles User Management checker operations,,User Management Checker,{*},TRUE,FALSE,FALSE,FALSE,usrmgmtchecker,,,,,,,
109,"{""checked"": false}",User Management,User Management Maker get operation,,Group maker get,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_m_get,,,,,,,
110,"{""checked"": false}",User Management,User Management Maker list operation,,Group maker list,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_m_list,,,,,,,
111,"{""checked"": false}",User Management,User Management Maker add operation,,Group maker add,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_m_add,,,,,,,
112,"{""checked"": false}",User Management,User Management Maker send for approval operation,,Group maker send for approval,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_m_send_for_approval,,,,,,,
113,"{""checked"": false}",User Management,User Management Maker draft operation,,Group maker draft,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_m_draft,,,,,,,
114,"{""checked"": false}",User Management,User Management Maker discard operation,,Group maker discard,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_m_discard,,,,,,,
115,"{""checked"": false}",User Management,User Management Maker edit operation,,Group maker edit,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_m_edit,,,,,,,
116,"{""checked"": false}",User Management,User Management Maker update operation,,Group maker update,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_m_update,,,,,,,
117,"{""checked"": false}",User Management,User Management Checker get operation,,Group checker get,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_c_get,,,,,,,
118,"{""checked"": false}",User Management,User Management Checker list operation,,Group checker list,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_c_list,,,,,,,
119,"{""checked"": false}",User Management,User Management Checker approve operation,,Group checker approve,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_c_approve,,,,,,,
120,"{""checked"": false}",User Management,User Management Checker reject operation,,Group checker reject,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_c_reject,,,,,,,
121,"{""checked"": false}",User Management,User Management Checker raised query operation,,Group checker Raise Query,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_c_raiseQuery,,,,,,,
122,"{""checked"": false}",User Management,User Management Checker discard operation,,Group checker discard,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,group_c_discard,,,,,,,
123,"{""checked"": false}",User Management,User Management Maker send for approval operation,,User Management Maker Send for Approval,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,usm_m_sendforApproval,,,,,,,
124,"{""checked"": false}",User Management,User Management Maker activate operation,,User Management Maker Activate,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,usm_m_activate,,,,,,,
125,"{""checked"": false}",User Management,User Management Maker deactivate operation,,User Management Maker Deactivate,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,usm_m_deactivate,,,,,,,
126,"{""checked"": false}",User Management,User Management Checker activate operation,,User Management Checker Activate,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,usm_c_activate,,,,,,,
