"kpcm_district_city","kpcm_state_code"
"Sri Potti Sriramulu Nellore","2"
"Srikakulam","2"
"Srinagar","14"
"Subarnapur","24"
"Sultanpur","31"
"Sunabeda","24"
"Sundargarh","24"
"Sundergarh","24"
"Supaul","5"
"Surat","11"
"Surendra Nagar","11"
"Surguja","33"
"Tamenglong","20"
"Tapi","11"
"Tarn Taran","26"
"Tawang","3"
"Tehri Garhwal","34"
"Thane","19"
"Thanjavur","29"
"The Dangs","11"
"The Nilgiris","29"
"Theni","29"
"Thiruvallur","29"
"Thiruvananthapuram","16"
"Thiruvarur","29"
"Thoothukkudi","29"
"Thoubal","20"
"Thrissur","16"
"Tikamgarh","18"
"Tinsukia","4"
"Tirap","3"
"Tiruchirappalli","29"
"Tirunelveli","29"
"Tiruppur","29"
"Tiruvallur","29"
"Tiruvannamalai","29"
"Tiruvarur","29"
"Tonk","27"
"Tuensang","23"
"Tumakuru","15"
"Tumkur","15"
"Tuticorin","29"
"Udaipur","27"
"Udalguri","4"
"Udham Singh Nagar","34"
"Udhampur","14"
"Udupi","15"
"Ujjain","18"
"Ukhrul","20"
"Umaria","18"
"Una","13"
"Unnao","31"
"Upper Siang","3"
"Upper Subansiri","3"
"Uttar Bastar Kanker","33"
"Uttar Dinajpur","32"
"Uttara Kannada","15"
"Uttarkashi","34"
"Vadodara","11"
"Vaishali","5"
"Valsad","11"
"Varanasi","31"
"Vellore","29"
"Vidisha","18"
"Vijayapura","15"
"Villupuram","29"
"Viluppuram","29"
"Virudhunagar","29"
"Visakhapatnam","2"
"Vizianagaram","2"
"Warangal","36"
"Wardha","19"
"Washim","19"
"Wayanad","16"
"West","9"
"West Champaran","5"
"West Delhi","9"
"West Garo Hills","21"
"West Godavari","2"
"West Kameng","3"
"West Khasi Hills","21"
"West Midnapore","32"
"West Nimar","18"
"West Siang","3"
"West Sikkim","28"
"West Singhbhum","35"
"West Tripura","30"
"Wokha","23"
"Yadgir","15"
"Yamuna Nagar","12"
"Yamunanagar","12"
"Yavatmal","19"
"YSR","2"
"Zunhebotto","23"
