id,audit_trail,cap_id,role_id,extra_info,created_at,created_by,modified_at,modified_by,deleted_at,deleted_by
221,,49,11,,,,,,,
222,,50,11,,,,,,,
223,,7,12,,,,,,,
224,,8,12,,,,,,,
225,,17,12,,,,,,,
226,,18,12,,,,,,,
227,,34,12,,,,,,,
228,,35,12,,,,,,,
229,,51,12,,,,,,,
230,,52,12,,,,,,,
231,,68,12,,,,,,,
232,,69,12,,,,,,,
233,,83,12,,,,,,,
234,,84,12,,,,,,,
235,,95,12,,,,,,,
236,,96,12,,,,,,,
237,,97,12,,,,,,,
238,,98,12,,,,,,,
239,,53,13,,,,,,,
240,,54,13,,,,,,,
241,,55,13,,,,,,,
242,,56,13,,,,,,,
243,,57,13,,,,,,,
244,,58,13,,,,,,,
245,,59,13,,,,,,,
246,,60,13,,,,,,,
247,,61,13,,,,,,,
248,,62,13,,,,,,,
249,,63,13,,,,,,,
250,,9,14,,,,,,,
251,,10,14,,,,,,,
252,,11,14,,,,,,,
253,,19,14,,,,,,,
254,,20,14,,,,,,,
255,,21,14,,,,,,,
256,,22,14,,,,,,,
257,,23,14,,,,,,,
258,,24,14,,,,,,,
259,,25,14,,,,,,,
260,,36,14,,,,,,,
261,,37,14,,,,,,,
262,,38,14,,,,,,,
263,,39,14,,,,,,,
264,,40,14,,,,,,,
265,,41,14,,,,,,,
266,,42,14,,,,,,,
267,,12,15,,,,,,,
268,,13,15,,,,,,,
269,,14,15,,,,,,,
270,,15,15,,,,,,,
271,,26,15,,,,,,,
272,,27,15,,,,,,,
273,,28,15,,,,,,,
274,,29,15,,,,,,,
275,,30,15,,,,,,,
276,,31,15,,,,,,,
277,,32,15,,,,,,,
278,,33,15,,,,,,,
279,,43,15,,,,,,,
280,,44,15,,,,,,,
281,,45,15,,,,,,,
282,,46,15,,,,,,,
283,,47,15,,,,,,,
284,,48,15,,,,,,,
285,,49,15,,,,,,,
286,,50,15,,,,,,,
287,,7,16,,,,,,,
288,,8,16,,,,,,,
289,,17,16,,,,,,,
290,,18,16,,,,,,,
291,,34,16,,,,,,,
292,,35,16,,,,,,,
293,,51,16,,,,,,,
294,,52,16,,,,,,,
295,,68,16,,,,,,,
296,,69,16,,,,,,,
