id,pincode,city_id,state_id,country_id,v1_code,is_active,is_deleted,created_by,created_at,modified_by,modified_at,deleted_by,deleted_at,extra_info
209,124001,581,12,85,209,true,false,,,,,,,
210,124009,307,12,85,210,true,false,,,,,,,
211,124010,581,12,85,211,true,false,,,,,,,
212,124021,581,12,85,212,true,false,,,,,,,
213,124022,581,12,85,213,true,false,,,,,,,
214,124029,307,12,85,214,true,false,,,,,,,
215,124040,645,12,85,215,true,false,,,,,,,
216,124101,307,12,85,216,true,false,,,,,,,
217,124102,307,12,85,217,true,false,,,,,,,
218,124103,307,12,85,218,true,false,,,,,,,
219,124104,307,12,85,219,true,false,,,,,,,
220,124105,307,12,85,220,true,false,,,,,,,
221,124106,307,12,85,221,true,false,,,,,,,
222,124107,307,12,85,222,true,false,,,,,,,
223,124108,307,12,85,223,true,false,,,,,,,
224,124109,307,12,85,224,true,false,,,,,,,
225,124111,581,12,85,225,true,false,,,,,,,
226,124112,581,12,85,226,true,false,,,,,,,
227,124113,581,12,85,227,true,false,,,,,,,
228,124129,581,12,85,228,true,false,,,,,,,
229,124141,581,12,85,229,true,false,,,,,,,
230,124142,307,12,85,230,true,false,,,,,,,
231,124146,307,12,85,231,true,false,,,,,,,
232,124201,307,12,85,232,true,false,,,,,,,
233,124202,307,12,85,233,true,false,,,,,,,
234,124303,581,12,85,234,true,false,,,,,,,
235,124304,579,12,85,235,true,false,,,,,,,
236,124401,581,12,85,236,true,false,,,,,,,
237,124404,307,12,85,237,true,false,,,,,,,
238,124405,581,12,85,238,true,false,,,,,,,
239,124406,581,12,85,239,true,false,,,,,,,
240,124411,581,12,85,240,true,false,,,,,,,
241,124412,581,12,85,241,true,false,,,,,,,
242,124416,581,12,85,242,true,false,,,,,,,
243,124423,581,12,85,243,true,false,,,,,,,
244,124501,581,12,85,244,true,false,,,,,,,
245,124504,307,12,85,245,true,false,,,,,,,
246,124505,307,12,85,246,true,false,,,,,,,
247,124506,307,12,85,247,true,false,,,,,,,
248,124507,307,12,85,248,true,false,,,,,,,
249,124508,307,12,85,249,true,false,,,,,,,
250,124513,581,12,85,250,true,false,,,,,,,
251,124514,581,12,85,251,true,false,,,,,,,
252,124524,581,12,85,252,true,false,,,,,,,
253,124700,527,26,85,253,true,false,,,,,,,
254,125001,274,12,85,254,true,false,,,,,,,
255,125002,274,12,85,255,true,false,,,,,,,
256,125003,274,12,85,256,true,false,,,,,,,
257,125004,274,12,85,257,true,false,,,,,,,
258,125005,274,12,85,258,true,false,,,,,,,
259,125006,274,12,85,259,true,false,,,,,,,
260,125007,274,12,85,260,true,false,,,,,,,
261,125008,217,12,85,261,true,false,,,,,,,
262,125011,274,12,85,262,true,false,,,,,,,
263,125015,635,12,85,263,true,false,,,,,,,
264,125033,274,12,85,264,true,false,,,,,,,
265,125037,274,12,85,265,true,false,,,,,,,
266,125038,274,12,85,266,true,false,,,,,,,
267,125039,274,12,85,267,true,false,,,,,,,
268,125042,274,12,85,268,true,false,,,,,,,
269,125044,274,12,85,269,true,false,,,,,,,
270,125047,274,12,85,270,true,false,,,,,,,
